Split,No,input_text,fallacy_type,a_annotator 1,a'_annotator 1,c_annotator 1,c'_annotator 1,x_annotator 1,template_annotator_1,is_arg_consequences_annotator_1,template_annotator_2,is_arg_consequences_annotator_2,a_annotator_2,a'_annotator_2,c_annotator_2,c'_annotator_2,x_annotator_2
Dev,1,We either have to cut taxes or leave a huge debt for our children.,False Dilemma,Cut taxes,,huge debt,,,2,YES,2,YES,cut taxes,,leave a huge debt for our children,,
Dev,2,"""The only solutions I can see to climate change is either mass extinction of humans, or passing this green bill.""",False Dilemma,mass extinction,,climate change,,,2,YES,2,YES,green bill,,mass extinction of humans,,
Dev,3,"""Either we re-elect Mayor Ruiz, or we watch our city fall to pieces"" is an example of",False Dilemma,re-elect Mayor Ruiz,,our city fall to pieces,,,2,YES,2,YES,re-elect Mayor Ruiz,,watch our city fall to pieces,,
Dev,4,It is an example of,False Dilemma,,,,,,5,NO,5,NO,,,,,
Dev,5,"Look, you are going to have to make up your mind. Either you decide that you can afford this stereo, or you decide you are going to do without music for a while",False Dilemma,afford stereo,,music,,,1,YES,2,YES,afford this stereo,,do without music for a while,,
Dev,6,Either you love me or you hate me.,False Dilemma,love,,hate,,,2,YES,2,YES,love me,,hate me,,
Dev,7,"""Either we have the full football season or we scrap it altogether and have zero football"" IS an example of what fallacy?",False Dilemma,full football season,,Scrap football,,,2,YES,2,YES,have the full football season,,have zero football,,
Dev,8,"There are two kinds of people in this world: those who like penguins, and those who are terrible monsters.",False Dilemma,like penguins,,being terrible monster,,,2,YES,2,YES,like penguins,,terrible monsters,,
Dev,9,"I thought you were a good person, but you were not at church today.",False Dilemma,good person,,church,,,1,YES,1,YES,church,,good person,,
Dev,10,"Iâ€™m raising funds to help cure XYZ disease. If you donâ€™t donate, then youâ€™re part of the problem.",False Dilemma,not donate,,problem,,,4,YES,4,YES,don't donate,,you're part of the problem,,
Dev,11,Purchase our product or no one is going to think youâ€™re attractive.,False Dilemma,purchase our product,,attractive,,,1,YES,2,YES,purchase our product,,no one is going to think you're attractive,,
Dev,12,"All of my friends are coming to my birthday party. If Micah doesn't, she might as well tell me that she doesn't like me.",False Dilemma,Coming to my birthday party,,like,,,1,YES,2,YES,coming to my birthday party,,doesn't like me,,
Dev,13,We either ban hairspray or the world will end.,False Dilemma,ban hairspray,,world end,,,2,YES,4,YES,hairspray,,the world will end,,
Dev,14,"I thought you were a good person, but you werenâ€™t at church today.",False Dilemma,good person,,church,,,2,YES,1,YES,church,,good person,,
Dev,15,"""You can be a good politician and play dirty or you can drop out.""",False Dilemma,good politician and play dirty,,drop out,,,2,YES,2,YES,be a good politician and play dirty,,you can drop out,,
Dev,16,"Student: You didn't teach us this; we never learned this.
 
 Teacher: So, you're either lazy or unwilling to learn is that right?",False Dilemma,lazy,,unwilling to learn,,,5,NO,4,YES,unwilling to learn,,never learned this,,
Dev,17,"Speaker 1: Iâ€™m against the war.
 Speaker 2: You must hate our troops.",False Dilemma,againts war,,hate our troops,,,4,YES,5,NO,hate our troops,,against the war,,
Dev,18,Vote for me or live through four more years of higher taxes.,False Dilemma,vote me,,four more years of higher taxes,,,2,YES,2,YES,vote for me,,live through four more years of higher taxes,,
Dev,19,"I'm raising money to help cure XYZ disease. If you do not donate, you are part of the problem.",False Dilemma,not donate,,problem,,,4,YES,4,YES,don't donate,,you're part of the problem,,
Dev,20,"Either support gun confiscation or have the government provide everyone with his own private nuclear warhead, you decide which one.",False Dilemma,support gun confiscation,,private nuclear warhead,,,3,YES,3,YES,support gun confiscation,,have the government provide everyone with his own private nuclear warhead,,
Dev,21,"Either we go to war, or we appear weak",False Dilemma,war,,appear weak,,,2,YES,2,YES,go to war,,appear weak,,
Dev,22,"If Mom didn't turn off the air conditioner, then clearly she must be too hot.",False Dilemma,turn off air conditioner,,hot,,,4,YES,5,NO,,,,,
Dev,23,You can either support our police or Black Lives Matter.,False Dilemma,support our police,,black lives matter,,,2,YES,2,YES,support our police,,Black Lives Matter,,
Dev,24,Force people to choose between two extreme choices intentionally ignoring the whole spectrum of other possibilities.,False Dilemma,Force people to choose ,,whole spectrum of other possibilities,,,3,YES,4,YES,force people to choose between two extreme choices,,intentionally ignoring the whole spectrum of other possibilities,,
Dev,25,"â€œEat great food at our restaurant, or eat sad, boring meals at home.â€",False Dilemma,eat foot at restaurant,,"eat sad,boring meals at home",,,2,YES,2,YES,eat great food at our restaurant,,"eat sad, boring meals at home",,
Dev,26,"""The academic decathlon, Mr. Iglesias? That's a rich kid thing.""",False Dilemma,academic decathlon,,rich kid thing,,,4,YES,4,YES,academic decathlon,,rich kid thing,,
Dev,27,"I'm raising funds to help cure XYZ disease. If you don't donate, then you're part of the problem.",False Dilemma,not donate,,problem,,,4,YES,4,YES,don't donate,,you're part of the problem,,
Dev,28,"Look, you are going to have to make up your mind. Either, you decide that you can afford this stereo, or your decide that you are going to have to go without music for a while.",False Dilemma,afford stereo,,music,,,1,YES,2,YES,afford this stereo,,do without music for a while,,
Dev,29,"Unless you can close your eyes to abuse, write a check to save this puppy.",False Dilemma,close your eyes to abuse,,puppy,,,1,YES,2,YES,write a check to save this puppy,,abuse,,
Dev,30,Either we go to war or we appear weak.,False Dilemma,war,,appear weak,,,2,YES,2,YES,go to war,,appear weak,,
Dev,31,"Lisa is trying to raise money for her university's library. In her address to the board of trustees, she says, ""We must raise tuition to cover the cost of new books. Otherwise, the school library will close!""
 Of what fallacy is this an example?",False Dilemma,raise tuition,,school library,,,1,YES,2,YES,raise tuition to cover the cost of new books,,school library will close,,
Dev,32,"Senator Jill: ""We'll have to cut education funding this year.""
 Senator Bill: ""Why?""
 Senator Jill: ""Well, either we cut the social programs or we live with a huge deficit and we can't live with the deficit.""",False Dilemma,cut the social programs,,huge deficit,,,2,YES,2,YES,cut the social programs,,live with a huge deficit,,
Dev,33,"""Either the city should provide recycling bins or throw out the Recycling Act"" is an example of:",False Dilemma,recycling bins,,recycling act,,,1,YES,2,YES,provide recycling bins,,throw out the Recycling Act,,
Dev,34,Either we pass this ordinance or there will be rioting in the streets.,False Dilemma,pass this ordinance,,riot,,,2,YES,2,YES,pass this ordiance,,rioting in the streets,,
Dev,35,"""Either you recycle or you don't care about human life.""",False Dilemma,recycle,,don't care about human life,,,2,YES,2,YES,recycle,,don't care about human life,,
Dev,36,"The museum's new gemstones and precious minerals exhibit needs more security guards. If you don't agree, then you must be planning to steal a piece of the exhibit",False Dilemma,more security guard,,steal,,,2,YES,2,YES,museum's new gemstones and precious minerals exhibit needs more security guards,,planning to steal a piece of the exhibit,,
Dev,37,"""Every person is either my enemy or my friend. If are my enemy I should hate them. If they are my friend I should love them So I should either love them or hate them.""",False Dilemma,love,,hate,,,2,YES,2,YES,love them,,hate them,,
Dev,38,You're with us or you're against us.,False Dilemma,with us,,against us,,,2,YES,2,YES,you're with us,,you're against us,,
Dev,39,Too much candy can cause cavities. You should avoid eating any candy unless you want cavities.,False Dilemma,avoid eating candy,,cavities,,,2,YES,2,YES,avoid eating candy,,cavities,,
Dev,40,"If it wasn't a missile, a bomb, or mechanical failure, then all that's left is a meteorite.",False Dilemma,"missile,bom,or mechanical failure",,meteorite,,,5,NO,5,NO,,,,,
Dev,41,Either you are with me or you are against me.,False Dilemma,with me,,against me,,,2,YES,2,YES,with me,,against me,,
Dev,42,You either are for us or you are all against,False Dilemma,for us,,against,,,2,YES,2,YES,for us,,all against,,
Dev,43,"Dad, either you let me go to the party or you're a bad dad.",False Dilemma,let me go the party,,bad dad,,,2,YES,2,YES,go to the party,,bad dad,,
Dev,44,You are either with God or against him.,False Dilemma,god,,againts him,,,2,YES,2,YES,with God,,against him,,
Dev,45,"This tactic plays upon a viewer's lack of knowledge by forcing the idea that the situation is static. Unless the audience is well-informed and aware of this deception, they may think that they have only two choices.",False Dilemma,Forcing idea tactic,,well informed,,,2,YES,2,YES,audience is well-informed,,deception,,
Dev,46,Your either for America or against her!!!,False Dilemma,america,,againts her,,,2,YES,2,YES,for America,,against her,,
Dev,47,"""America: Love it or leave it""
 This is an example of which kind of logical fallacy?",False Dilemma,love ,,leave,,,2,YES,2,YES,Love it,,Leave it,,
Dev,48,"""To get better schools, we have to raise taxes. If we don't, we can't have better schools.""",False Dilemma,raise taxes,,school,,,1,YES,2,YES,raise taxes,,can't have better schools,,
Dev,49,"These test results are clearly wrong, and it must be either because the client was malingering or because I bungled the test administration. Taking another look at the test manual, I see now that I bungled the test administration. Therefore the client was not malingering.",False Dilemma,bungled the test administration,,Malingering,,,5,NO,5,NO,,,,,
Dev,50,"""Either you are for us, or you're against us!""",False Dilemma,for us,,againts us,,,2,YES,2,YES,for us,,against us,,
Dev,51,"I know five people from Kentucky. They are all racists. Therefore, Kentuckians are racist.",Faulty Generalization,kentuckians,five people from kentucky,racist,,,2,YES,2,YES,Kentucky,five people from Kentucky,racists,,
Dev,52,"If we use one more can of hairspray this month, the ozone layer will not exist, and we will not exist!",Faulty Generalization,hairspray,,we will not exist,ozone layer will not exist,,2,YES,1,YES,hairspray,one more can of hairspray this month,ozone layer,,
Dev,53,Teenagers are too immature and self-absorbed to understand anything about global issues.,Faulty Generalization,glocal issue,,teenagers,,,5,NO,5,NO,,,,,
Dev,54,"The use of laptops and other devices to replace books in the classroom would eventually lead to the downfall of printing and publishing companies, causing many people to be laid off from their jobs. As such, schools should stick to using printed books as study materials.",Faulty Generalization,laptops,,jobs,printing and publishing companies,,1,YES,1,YES,the use of laptops and other devices,,jobs,printing and publishing companies,
Dev,55,"James, the company you work for just filed for bankruptcy! How can I trust you with our money?",Faulty Generalization,company,james,bankruptcy,,,2,YES,1,YES,James,company you work for just filed for bankruptcy,trust you with our money,,
Dev,56,All required university courses are boring.,Faulty Generalization,required university courses,,Boring,,,5,NO,2,YES,all required university courses,university courses,boring,,
Dev,57,"My friend swears the mechanic at that shop overcharged her last week and after looking at her invoice it seems sheâ€™s right. So donâ€™t take your business there, as youâ€™ll definitely get ripped off.",Faulty Generalization,shop,mechanic,overcharging,overcharging my friend,,2,YES,1,YES,shop,mechanic,overcharging,overcharging friend,
Dev,58,"My roommate said her philosophy class was difficult, and the one Iâ€™m in is difficult, too. All philosophy classes must be hard.",Faulty Generalization,philosophy classes,my roommate philosophy class,difficult,,,2,YES,1,YES,all philosophy classes,her philosophy class,roommate,,
Dev,59,"Pizza has ingredients from all the food groups. Therefore, pizza must be healthy.",Faulty Generalization,pizza,pizza ingredients,healthy,,,3,YES,3,YES,pizza,ingredients from all the food groups,healthy,,
Dev,60,You didn't remember to take out the trash this morning. It will pile up and the neighbors will complain and the health inspectors will come and take away the kids.,Faulty Generalization,take out trash this morning,,health inspectors come and take away the kids,neighbors complain,,4,YES,4,YES,take out the trash,you didn't remember to take out the trash this morning,pile up,,
Dev,61,"If you eat a good diet, you will never have a heart attack.",Faulty Generalization,good diet,,heart attack,,,5,NO,3,YES,good diet,,will never have a heart attack,you will never have a heart attack,
Dev,62,"This crash will likely damage the reputation of Malaysia Airlines, which will hurt the tourism industry of Malaysia and ruin their economy.",Faulty Generalization,this crash,,tourism industry of malaysia,reputation of malaysia airlines,,1,YES,2,YES,crash,This crash,tourism industry of Malaysia,,
Dev,63,"In both of the murder mysteries I have read, the District Attorney was the culprit. All mystery writers like to make lawyers out to be villains.",Faulty Generalization,mystery writers ,murder mysteries i have read,lawyers,,,1,YES,1,YES,mystery writers,all mystery writers,lawyers,,
Dev,64,The United States is the wealthiest nation in the world. So every American is wealthy.,Faulty Generalization,american,The United States,wealthy,,,3,YES,3,YES,United States,American,wealthiest nation in the world,,
Dev,65,Alissa has class with a football player who is a class clown. He disrupts the class and is failing. Alissa decides all football players are not serious students.,Faulty Generalization,football players,alissa football player classmate,not serious,,,2,YES,2,YES,all football players,alissa has a class with a football player,disrupts the class,,
Dev,66,"If I don't take this AP class, then I won't do well on the exam. If I don't do well on the AP exam, then I can't get into a good college. If I can't get into a good college, then I'll never get a good job. If I can't get a good job, then I'm going to have to live in my parents' basement forever. Guess I'll sign up for the AP class.",Faulty Generalization,AP class,,live in my parents basement forever,won't do well on the exam,,4,YES,4,YES,sign up for the AP class,,can't get into a good college,live in my parent's basement,
Dev,67,"""Four out of five dentists recommend Happy Glossy toothpaste. Therefore, it must be great.""",Faulty Generalization,Happy glossy toothpaste,,,4 out of 5 dentists,,5,NO,3,YES,Happy Glossy toothpaste,,dentists,four out of five dentists,
Dev,68,"She has always associated with shady people, so she must not be trustworthy.",Faulty Generalization,she,associated with shady people,trustworthy,,,1,YES,1,YES,associated with shady people,she has always associated with shady people,trustworthy,,
Dev,69,"A car makes less pollution than a bus. Therefore, cars are less of a pollution problem than buses",Faulty Generalization,car,cars,pollution,,,4,YES,2,YES,buses,car,pollution,,
Dev,70,"Sam is riding her bike in her home town in Maine, minding her own business. A station wagon comes up behind her and the driver starts beeping his horn and then tries to force her off the road. As he goes by, the driver yells ""get on the sidewalk where you belong!"" Sam sees that the car has Ohio plates and concludes that all Ohio drivers are jerks.",Faulty Generalization,Ohio drivers,the driver that use ohio plates,jerks,,,2,YES,2,YES,Ohio drivers,Same sees that the car has Ohio plates,jerks,,
Dev,71,"If we let the government implant tracking devices in criminals, it's not going to stop there! They're going to want to track us at work, our school children, and then eventually everyone!",Faulty Generalization,implant tracking devices,,everyone,criminals,,1,YES,1,YES,let the government implant tracking devices,,criminals,children,
Dev,72,"I saw two women get in a car accident. Therefore, all women are bad drivers",Faulty Generalization,women,two women,bad drivers,car accident,,2,YES,2,YES,women,two women,car accident,,
Dev,73,"Broccoli has significantly less fat than the leading candy bar! Plus, it's nowhere near as hot as Hot Cheetos!",Faulty Generalization,broccoli,,fat,,,5,NO,4,YES,broccoli,,leading candy bar,,
Dev,74,"""That new home looks great! Let's buy it!""",Faulty Generalization,,,,,,5,NO,5,NO,,,,,
Dev,75,"After I listened to the first song of my favorite musicianâ€™s new vinyl record, I knew Iâ€™d hate the entire record, so I converted it into a Frisbee.",Faulty Generalization,entire record,first song,hate,,,2,YES,2,YES,favorite musician's new vinyl record,,first song,entire record,
Dev,76,"""If I raise you, I must raise everyone, and then the company goes bankrupt.""",Faulty Generalization,raise everyone,raise you,bankrupt,,,2,YES,2,YES,raise you,raise everyone,company goes bankrupt,,
Dev,77,Atheists are morally bankrupt.,Faulty Generalization,,,,,,5,NO,5,NO,,,,,
Dev,78,French people are great at kissing. Julie is French. Get me a date!,Faulty Generalization,French people,Julie,great at kissing,,,3,YES,3,YES,french people,julie,kissing,,
Dev,79,"First we handed out I-pads, now we use Quizizz, next we'll have robot subs!",Faulty Generalization,robot subs,i-pads,,,,5,NO,3,YES,robot subs,i-pads,we,,
Dev,80,"Even though it's only the first day, I can tell this is going to be a boring course.",Faulty Generalization,,first day,boring course,,,5,NO,1,YES,this,,first day,course,
Dev,81,"Eugene is silly in class. Harry is his friend, so Harry must be silly, too.",Faulty Generalization,Eugene,Harry,silly,,,2,YES,3,YES,Harry,Eugene,silly,,
Dev,82,"My parents are democrats, and they are good people. Therefore, all democrats must be good people.",Faulty Generalization,democrats,my parents,good people,,,3,YES,3,YES,democrats,my parents,good people,,
Dev,83,"Laura is the class president. She believes that the class should sponsor a dance as a fundraiser. Then she learns that a group of girls that she doesn't like also support the idea of a dance as a fundraiser. So, Laura changes her mind and decides that the class should plan a race instead.",Faulty Generalization,race,,class,group of girls,,3,YES,5,NO,,,,,
Dev,84,Did you really vote for Donald as class treasurer? Didn't you hear that his uncle was imprisoned for embezzling $1.5 million?,Faulty Generalization,vote for donald as class treasurer,his uncle,embezzling ,,,2,YES,1,YES,Donald as class treasurer,his uncle was imprisoned,you,,
Dev,85,"If we allow a housing development to be built on Sunny Lake, a resort will come next, and soon we wonâ€™t have any wilderness left!",Faulty Generalization,housing development,resort,wilderness,,,1,YES,5,NO,,,,,
Dev,86,"Trying to finish a marathon is impossible, I know because I tried it once.",Faulty Generalization,finish marathon,,impossible,I,,5,NO,2,YES,marathon,i tried it once,impossible,,
Dev,87,"That German, Fred, stole my wallet. All Germans are thieves.",Faulty Generalization,Germans,Fred,Stole my wallet,,,2,YES,2,YES,Germans,Fred,stole my wallet,,
Dev,88,"The more things change, the more they remain the same.",Faulty Generalization,,,,,,5,NO,5,NO,,,,,
Dev,89,"Running in the halls at school is against the rules. Therefore, the indoor track team should be written up.",Faulty Generalization,written up,,,,,5,NO,5,NO,,,,,
Dev,90,"I saw a student texting in my class yesterday; all my students must be texting, so cell phones should be banned.",Faulty Generalization,banned cell phones,,all my students must be texting,saw student texting in my class,,4,YES,1,YES,cell phones should be banned,,all my students,student,
Dev,91,We canâ€™t freeze the academic year because then students wonâ€™t graduate on time. Next thing you know most people will be unemployed and will resort to crime. The crime rate will skyrocket and society will collapse.,Faulty Generalization,freeze academic year,,crime rate will skyrocket,student wont graduate on time,,2,YES,1,YES,freeze the academic year,,students,crime rate,
Dev,92,"If we allow our 14 year-old to have her first date tonight, what's next? A wedding, kids?",Faulty Generalization,date,wedding,our 14 year old kids,,,1,YES,5,NO,,,,,
Dev,93,"If we put limits on the right to bear arms, soon all of our Constitutionally-given rights will be taken away.",Faulty Generalization,constitutionally,limits on the right to bear arms,rights,,,1,YES,5,NO,,,,,
Dev,94,No one in your family surfs? But I thought you said you lived in California before this.,Faulty Generalization,california,your familly,surfs,,,5,NO,3,YES,California,you lived in California,surfs,,
Dev,95,"This new test seemed so promising, but the 3 studies that supported its validity turned out to have critical methodological flaws, so the test is probably not valid.",Faulty Generalization,new test,3 new studies,valid,,,1,YES,2,YES,test,,critical methodolical flaws,3 studies that supported its validity turned out to have critical methodological flaws,
Dev,96,"My sister loves shopping, so all girls must love to shop too.",Faulty Generalization,girls,sister,shopping,,,3,YES,3,YES,to shop,,all girls,my sister,
Dev,97,Two members of my team have become more engaged employees after taking public speaking classes. That proves we should have mandatory public speaking classes for the whole company to improve employee engagement.,Faulty Generalization,mandatory public speaking class,,whole company,two member of my team,,3,YES,3,YES,have mandatory public speaking classes,,whole company,two members of my team,
Dev,98,"If we ban Hummers because they are bad for the environment, eventually the government will ban all cars, so we should not ban Hummers.",Faulty Generalization,ban hummers,ban cars,environment,,,1,YES,1,YES,ban hummers,government will ban all cars,environment,,
Dev,99,"""You were late tonight. You must be cheating!""",Faulty Generalization,you,,cheat,late,,2,YES,2,YES,late,you were late,cheating,,
Dev,100,All football players are dumb jocks.,Faulty Generalization,football players,,dumb,,,5,NO,2,YES,all football players,football players,dumb,,
Dev,101,"The best example of this fallacy is presented by the person who coined this term, Nassim Nicholas Taleb in his 2007 book, The Black Swan. There are two people",False Causality,,,,,,5,NO,5,NO,,,,,
Dev,102,"""I drank bottled water and now I am sick, so the water must have made me sick.""",False Causality,drink water,sick,,,,2,YES,2,YES,drank bottled water,,sick,,
Dev,103,"P1. A sedentary lifestyle contributes to obesity.
 P2. People have become more sedentary in the last few decades.
 C. Therefore, the rise in obesity can be fixed by people getting more exercise.",False Causality,exercise,obesity,,,,4,YES,4,YES,people getting more exercise,,the rise in obesity,,
Dev,104,"Jimmy has a fever, sinus congestion, a cough, and canâ€™t come to school, so he probably has a test later today.",False Causality,fever,come to school,,,,1,YES,2,YES,test,,"fever, sinus congestion, a cough",,
Dev,105,"""The dinosaurs became extinct because they ate vegetables..."" is an example of what?",False Causality,vegetables,extinct,,,,2,YES,2,YES,vegetables,,dinousaurs became extinct,,
Dev,106,"Some students failed a test last week and they all had cell phones. Having cell phones, therefore, made them fail.",False Causality,cell phones,fail,,,,2,YES,2,YES,having cell phones,,students failed a test,,
Dev,107,"Red had come up six times in a row on the roulette wheel, so Greg knew that it was close to certain that black would be next up. Suffering an economic form of natural selection with this thinking, he soon lost all of his savings.",False Causality,knew that the roulette wheel was close,savings,,,,1,YES,1,YES,this thinking,,his savings,,
Dev,108,"P1. Smoking has been empirically proven to cause lung cancer.
 C. Therefore, if we eradicate smoking, we will eradicate lung cancer.",False Causality,eradicate smoking,lung cancer,,,,4,YES,4,YES,eradicate smoking,,lung cancer,,
Dev,109,Jack threw up because he ate Hot Cheetos.,False Causality,ate hot cheetos,threw up,,,,2,YES,2,YES,Hot Cheetos,,threw up,,
Dev,110,I passed my math test after going out to the movies the night before. I should go to the movies the night before every math test!,False Causality,go to the movies,passed my math test,,,,3,YES,3,YES,go to the movies the night before every math test,,passed my math test,,
Dev,111,"Before women got the vote, there were no nuclear weapons",False Causality,women vote,nuclear weapons,,,,2,YES,2,YES,women got the vote,,nuclear weapons,,
Dev,112,"a connection between two ideas that doesn't always mean that one causes the other (correlation vs. causation)
 
 una conexiÃ³n entre dos ideas que no siempre significa que una causa la otra (correlaciÃ³n vs. causaciÃ³n)",False Causality,,,,,,5,NO,5,NO,,,,,
Dev,113,"1. All the schools in the area had to kept closed for most part of the week.
 2. Many parents have withdrawn their children from the local schools.",False Causality,schools kept closed,many parents withdrawn their children,,,,2,YES,2,YES,all the schools in the area had to kept closed,,parents have withdrawn their children from the local schools,,
Dev,114,"â€œPresident Jones raised taxes, and then the rate of violent crime went up. Jones is responsible for the rise in crime.""",False Causality,raised taxes,violent crime,,,,2,YES,2,YES,Jones,,rise in crime,,
Dev,115,"Every time I wear this necklace, I pass my exams. Therefore, wearing this necklace causes me to pass my exams.",False Causality,wearing this necklace,pass my exams,,,,3,YES,3,YES,wearing this necklace,,pass my exams,,
Dev,116,"Our garage sale made lots of money before Joan showed up. Obviously, she scared off all the customers.",False Causality,joan,customers,,,,1,YES,2,YES,Joan,,scared off all the customers,,
Dev,117,The party was going great! Then Gerald showed up and little by little people started collecting their coats and heading home. Gerald ruined the party.,False Causality,gerald,party,,,,1,YES,2,YES,Gerald,,ruined the party,,
Dev,118,"I took a vitamin this morning and now Iâ€™m sick, so the vitamin must have made me ill.",False Causality,vitamin,ill,,,,2,YES,2,YES,vitamin,,sick,,
Dev,119,There was a thunderstorm with rain therefore I did not finish my homework.,False Causality,thunderstorm,homework,,,,1,YES,1,YES,thunderstorm with rain,,finish my homework,,
Dev,120,My child was diagnosed with autism after receiving vaccinations. That is proof that vaccines are to blame.,False Causality,vaccines,autism,,,,2,YES,2,YES,vaccines,,autism,,
Dev,121,Iâ€™ve never had the flu because I take my vitamins everyday.,False Causality,vitamins,flu,,,,4,YES,4,YES,vitamins,,flu,,
Dev,122,"Utah passed a strict gun-control law, and crime there decreased. Therefore, gun-control laws decrease crime.",False Causality,gun-control laws,crime,,,,4,YES,4,YES,gun controls laws,,crime,,
Dev,123,"â€œThe temperature has dropped this morning, and I also have a headache. Therefore, the cold weather must be causing my headache. â€œ",False Causality,cold weather ,headache,,,,2,YES,2,YES,cold weather,,headache,,
Dev,124,"earthquakes in the Andes were correlated with the closest approaches of the planet Uranus. Therefore, Uranus must have caused them.",False Causality,Uranus,earthquakes in the Andes,,,,2,YES,2,YES,Uranus,,earthquakes in the Andes,,
Dev,125,"The bigger a child's shoe size, the better the child's handwriting",False Causality,child's shoe size,child's handwriting,,,,3,YES,3,YES,the bigger a child's shoe size,,child's handwriting,,
Dev,126,very time Joe goes swimming he is wearing his Speedos. Something about wearing that Speedo must make him want to go swimming.,False Causality,wearing speedo,swimming,,,,3,YES,3,YES,Speedo,,swimming,,
Dev,127,"Every time I go to sleep, the sun goes down. Therefore, my sleeping causes the sun to set.",False Causality,sleeping,sun goes down,,,,3,YES,2,YES,my sleeping,,sun to set,,
Dev,128,"The flu vaccine comes out every year just before the holidays, then people go and spend a lot of money. Therefore, businesses are secretly using the flu vaccine as a mind control device to increase holiday spending.",False Causality,flue vaccine,holiday spending,,,,1,YES,2,YES,flu vaccine,,holiday spending,,
Dev,129,Billy murdered all those people because I spanked him when he was a child.,False Causality,spank,murder,,,,2,YES,2,YES,spanked,,billy murdered all those people,,
Dev,130,Incorrectly thinking that one thing leads to another,False Causality,incorrect thinking,another,,,,2,YES,5,NO,,,,,
Dev,131,"The economy continues to grow as the number of â€œlikesâ€ on my Instagram account continue to increase. Clearly, the two are linked.",False Causality,economy grow,number of like on instagram,,,,3,YES,3,YES,the number of likes on my Instagram account continue to increase,,economy,,
Dev,132,"""In its origins [AIDS] was entirely a disease of sodomites... That the first case was diagnosed a little over a decade after the so-called ""Gay Rights"" and ""Gay Pride"" movement gained momentum and force can hardly be coincidental."" - Harry Jaffa, Professor Emeritus of Political Philosophy at Claremont McKenna College",False Causality,gay,aids,,,,2,YES,2,YES,"""Gay Rights"" and ""Gay Pride"" movement",,AIDs,,
Dev,133,Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Joan concludes that the cat's scratch must be the cause of her illness.,False Causality,cat's scratch,fever,,,,2,YES,2,YES,cat's scratch,,fever,,
Dev,134,Suggesting that John F. Kennedy won the presidency over Richard Nixon exclusively because of the debate on TV,False Causality,debate on TV,won the presidency,,,,3,YES,3,YES,debate on TV,,won presidency,,
Dev,135,Every severe recession follows a Republican Presidency; therefore Republicans are the cause of recessions.,False Causality,rebulican,recessions,,,,2,YES,2,YES,Republicans,,recessions,,
Dev,136,Attributing the cause of World War II to only Adolf Hitler's hatred of the Jews,False Causality,world war II,hatred of the jews,,,,2,YES,2,YES,Adolf Hitler's hatred of the Jews,,World War II,,
Dev,137,"The report suggests that 'the rise in violent offending and the explosion in the sales of iPods and other portable media devices is more than coincidental,' and asks, rather provocatively, 'Is There an iCrime Wave?' The report notes that nationally, violent crime fell every year from 1993 to 2004, before rising in 2005 and 2006, just as 'Americaâ€™s streets filled with millions of people visibly wearing, and being distracted by, expensive electronic gear.'",False Causality,sales of ipods and other portable media devices,violent  ,,,,2,YES,2,YES,sales of iPods and other portable media,,violent crime,,
Dev,138,assumes that short-term deviations will correct themselves,False Causality,short-term deviations,correct,,,,3,YES,3,YES,short-term deviations,,correct themselves,,
Dev,139,"Maury: Please put all my chips on red 21.
 Dealer: Are you sure you want to do that? Red 21 just came up in the last spin.
 Maury: I didnâ€™t know that! Thank you! Put it on black 15 instead. I canâ€™t believe I almost made that mistake!",False Causality,Red 21 came up,mistake,,,,4,YES,2,YES,chips on red 21,,mistake,,
Dev,140,"I knew I should have helped that old lady across the road. Because I didnâ€™t, I have been having bad Karma all day.",False Causality,helped that old lady,karma,,,,4,YES,4,YES,helped that old lady across the road,,bad Karma,,
Dev,141,"Lois and Jan did a ""snow dance"" one afternoon, and it snowed that night. They claimed to have brought the snow.",False Causality,snow dance,snowed,,,,3,YES,3,YES,snow dance,,snow,,
Dev,142,"â€œPresident Jones raised taxes, and then the rate of violent crime went up. Jones is responsible for the rise in crime.â€",False Causality,raised taxes,violent crime,,,,2,YES,2,YES,Jones,,crime,,
