Split,No,input_text,fallacy_type,a_annotator 1,a'_annotator 1,c_annotator 1,c'_annotator 1,x_annotator 1,template_annotator_1,is_arg_consequences_annotator_1,template_annotator_2,is_arg_consequences_annotator_2,a_annotator_2,a'_annotator_2,c_annotator_2,c'_annotator_2,x_annotator_2
Train,277,"If I went to the mall a polled 3 people, those opinions would not represent the opinions of the city population.",Faulty Generalization,,,,,,5,NO,5,NO,,,,,
Train,278,"If you forget to floss, you will get cavities, and if you get cavities, you will lose all your teeth by the time you're 30.",Faulty Generalization,cavities,forget to floss,lose all your teeth,,,2,YES,4,YES,floss,,lose all your teeth,you will lose all your teeth by the time you're 30,
Train,279,"""Some tall people recently vandalized the park, tall people are irresponsible.""",Faulty Generalization,tall people,some tall people,irresponsible,vandalized the park,,2,YES,1,YES,tall people,some tall people,the park,,
Train,280,"My mother has always told me not to drink milk after eating fish because she knows a friend whose skin got patched after drinking milk and eating fish together. Besides, many other people have told me the same thing so it must be true.",Faulty Generalization,drinking milk after eating fish,my mother friend drinking milk and eating fish,skin got patched,,,2,YES,1,YES,drink milk after eating fish,,people,friend,
Train,281,"Based on a survey of 1000 American homeowners, 99% of those surveyed have two or more automobiles worth on average $100,000 each. Therefore, Americans are very wealthy.",Faulty Generalization,americans,99% of surveyed american homeowners,wealthy,,,3,YES,3,YES,Americans,1000 American homeowners,wealthy,,
Train,282,gun registration would start us sliding into the unconstitutional morass of universal arms confiscation.,Faulty Generalization,,,,,,5,NO,5,NO,,,,,
Train,283,"If you donâ€™t eat breakfast, youâ€™ll slouch in your desk. If you slouch in your desk, youâ€™ll hurt your back. If you hurt your back, youâ€™ll never become President. What fallacy is being committed here?",Faulty Generalization,dont eat breakfast,,never become president,slouch in your desk,,2,YES,1,YES,eat breakfast,you don't eat breakfast,become President,,
Train,284,"""She's definitely a feminist; she watched the Democratic National Convention"" IS an example of this fallacy.",Faulty Generalization,,,,,,5,NO,2,YES,Democratic National Convention,,feminist,she,
Train,285,"If you don't pass this quiz, you will get a low grade. This will affect your score in the gradebook, you will fail Eng II. You will not graduate Highschool. You will not get a good job.",Faulty Generalization,dont pass this quiz,,not get a good job,not graduate highschool,,2,YES,1,YES,pass this quiz,you don't pass this quiz,good job,,
Train,286,"My grandmother smoked for 80 years and died at 100. Obviously, smoking isnâ€™t harmful.",Faulty Generalization,smoking,smoked for 80 years,harmfull,,,4,YES,5,NO,,,,,
Train,287,"I know four poor families. They are lazy drug addicts. Therefore, all poor people are lazy drug addicts.",Faulty Generalization,all poor people,four foor families,lazy drug addicts,,,2,YES,2,YES,all poor people,four poor families,lazy drug addicts,,
Train,288,"An NSA whistle-blower, William Binney, said last week that the agencyâ€™s surveillance activities put us on 'a slippery slope toward a totalitarian state'",Faulty Generalization,,,,,,5,NO,5,NO,,,,,
Train,289,People nowadays only vote with their emotions instead of their brains.,Faulty Generalization,,,,,,5,NO,1,YES,vote with their emotions,,people,people nowadays,
Train,290,"Itâ€™s getting late, and we still have to decide on the school budget. What do you say we just leave it as is and we can call it a night?",Faulty Generalization,,,,,,5,NO,3,YES,decide on the school budget,leave it as is,we,,
Train,291,"""I have one Japanese friend and it's true that all of them are numb.""",Faulty Generalization,japanese friend,one japanese friend,dumb,,,2,YES,2,YES,Japanese,one Japanese friend,numb,,
Train,292,"""If we ban Hummers because they are bad for the environment, then eventually the government will ban all cars; therefore, we should not ban Hummers.""",Faulty Generalization,ban hummers,ban cars,environment,,,1,YES,1,YES,ban hummers,ban all cars,environment,,
Train,293,"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students.
 
 What error in reasoning has Jeff made?",Faulty Generalization,high school students,student in english class,grape flavor,,,3,YES,3,YES,grape flavored drinks,,high school students,students in an English class,
Train,294,All writing teachers must be awesome because Ms. Lopez is.,Faulty Generalization,All writing teacher,ms lopez,awesome,,,3,YES,3,YES,all writing teachers,Ms. Lopez,awesome,,
Train,295,"Gas prices have been rising steadily these past few years. Thus, the cost of car ownership is higher than it was previously.",Faulty Generalization,,,,,,5,NO,2,YES,gas prices have been rising,gas prices have been rising steadily these past few years,cost of car ownership,,
Train,296,"If you don't study, you'll fail your test. Then you will do poorly in the class and your GPA will fall. You won't get into a good college, so you'll never get a decent job and you'll end up homeless.",Faulty Generalization,dont study,,homeless,do poorly in class,,2,YES,4,YES,study,you don't study,homeless,,
Train,297,"Pol Pot, the Cambodian Maoist revolutionary, was against religion, and he was a very bad man. Frankie is against religion; therefore, Frankie also must be a very bad man.",Faulty Generalization,frankie,pol pot,againts religion,,,2,YES,2,YES,Frankie,"Pol Pot, the Cambodian Maoist revolutionary",against religion,,
Train,298,"Brad's mother asked him why he wasn't trying out for the school play. He responded: ''Because if Tom gets the male lead, which he always does, then I'll only be in the chorus, and it's not worth being in the play if I'm only going to be in the chorus.'' This is an example of which logical fallacy?",Faulty Generalization,tom gets the mail lead,,im not worth being in the play,i will only be in the chorus,,2,YES,2,YES,try out for the school play,,only be in the chorus,Tom gets the male lead,
Train,299,"Exercise is good. Therefore everybody should exercise.'
 ""'I agree,' said Polly earnestly. 'I mean exercise is wonderful. I mean it builds the body and everything.'",Faulty Generalization,exercise,,good and wonderful,builds body,,3,YES,3,YES,exercise,,everyone,Polly,
Train,300,If we ban cell phones because they are bad for teenagers next the government will ban all iPods and eventually all video games as well.,Faulty Generalization,ban cell phones,,ban all video games,ban all ipods,,2,YES,5,NO,,,,,
Train,301,"My new sport psychology intervention works! I chose the player with the lowest batting average based on the last game from each of the teams in our amateur baseball league. Then I gave each of them my 5-minute intervention. And almost all of them improved their batting average in the next game!"" (Note: this example may also involve the statistical phenomenon of regression to the mean.",False Causality,5 minute intervention,,improved their batting average,,,3,YES,3,YES,my new sport psychology intervention,,batting average,,
Train,302,"Earthquakes are caused when the plates of the Earth's crust move. Earthquakes happen along ""fault lines"" in the earthâ€™s crust. When the plates in the Earth suddenly shift, the Earth will begin to shift, shake or tremble.
 What is the central idea?",False Causality,plates shift,,earth shift,,,2,YES,2,YES,earthquakes,,"Earth will begin to shift, shake or tremble",,
Train,303,You oversleep and then fail a test; so you assume that oversleeping causes you to fail tests,False Causality,oversleep,,fail a test,,,2,YES,1,YES,oversleep,,test,,
Train,304,"Pointing to a fancy chart, Roger shows how temperatures have been rising over the past few centuries, whilst at the same time the numbers of pirates have been decreasing; thus pirates cool the world and global warming is a hoax.",False Causality,pirates,,temperatures rising,,,4,YES,4,YES,temperatures have been rising over the past few years,,pirates,,
Train,305,"â€œYesterday, I walked under a ladder with an open umbrella indoors while spilling salt in front of a black cat. And I forgot to knock on wood with my lucky dice. That must be why Iâ€™m having such a bad day today. Itâ€™s bad luck.â€",False Causality,spilling salt in front of a black cat,,bad luck,,,2,YES,4,YES,knock on wood with my lucky dice,,bad day,,
Train,306,"Jason and his family are heading to Utah to spend a week skiing. Looking at the weather reports, he notices that it is supposed to be warmer, making for lousy ski conditions. Angrily, he calls the Weather Channel and demands that they change their forecast so he will have better weather for the trip.",False Causality,warmer weather,,ski,,,3,YES,3,YES,they change their forecast,,skiing,,
Train,307,"Cellphones werenâ€™t invented before I was born. Now, they are everywhere! Therefore, cellphones were created because I was born.",False Causality,,,,,,5,NO,3,YES,I was born,,cellphones,,
Train,308,The accident was caused by the taxi parking in the street,False Causality,taxi parking in the street,,accident,,,2,YES,2,YES,taxi parking in the street,,accident,,
Train,309,Texting has killed peopleâ€™s ability to write in complete sentences with proper grammar.,False Causality,texting,,ability to write complete sentences,,,1,YES,4,YES,texting,,people's ability to write in complete sentences with proper grammar,,
Train,310,"â€œSince event Y followed event X, event Y must have been caused by event Xâ€. What fallacy is described in this logical form?",False Causality,,,,,,5,NO,5,NO,,,,,
Train,311,Children who play violent video games act more violently than those who donâ€™t.,False Causality,play violent video games,,act violently,,,2,YES,2,YES,play violent video games,,act more violently,,
Train,312,"Shortly after MySpace became popular, U.S. soldiers found Saddam Hussein.",False Causality,myspace ,,found saddam hussein,,,3,YES,3,YES,MySpace,,U.S. soldiers found Saddam Hussein,,
Train,313,"I go to my front porch every morning and yell, â€œMay no tigers enter this house!â€ and for 20 years, not a single tiger has entered my house. My tiger prevention strategy clearly works.",False Causality,yell,,tiger entered house,,,4,YES,3,YES,"go to my front porch every morning and yell ""May no tigers enter this house!""",,not a single tiger has entered my house,,
Train,314,"â€œPresident Kumail raised taxes, and then the rate of violent crime went up. Kumail is responsible for the rise in crime.â€",False Causality,raised taxes,,rate of vilent crime went up,,,2,YES,2,YES,Kumail,,rise in crime,,
Train,315,"Jen: Donâ€™t you realize that all this drinking you are doing is making your family miserable?
 Bridget: Yes, I do.
 Jen: Then what are you doing about it?
 Bridget: Drinking to forget.",False Causality,drinking,,miserable,,,2,YES,3,YES,drinking,,forget,,
Train,316,"I have flipped heads five times in a row. As a result, the next flip will probably be tails.",False Causality,flipped heads five times in a row,,flip tails,,,3,YES,3,YES,flipped heads five times in a row,,next flip will probably be tails,,
Train,317,blame opponent's policy for the country's problems,False Causality,,,,,,5,NO,2,YES,opponent's policy,,country's problems,,
Train,318,"""A baseball pitcher bought new socks before he pitched a winning game. The new socks caused a pitcher to throw faster! He will wear the new socks for EVERY game now.""
 
 This is an example of...",False Causality,new socks,,throw faster,,,3,YES,3,YES,new socks,,pitcher to throw faster,,
Train,319,â€œI sneezed exactly at the same time the power went off. My sneeze mustâ€™ve done something to make the power go off. â€œ,False Causality,sneeze,,power off,,,2,YES,2,YES,my sneeze,,power went off,,
Train,320,Naima is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Naima concludes that the cat's scratch must be the cause of her illness.,False Causality,scratched by a cat,,fever,,,2,YES,2,YES,cat's scratch,,illness,,
Train,321,"Farmer McDonald: Ever since they put up that new power plant across the river, we haven't had a bit of rain. I'm tellin' you, mankind has got too big for its britches when it fiddles around with nature.",False Causality,power plant,,rain,,,1,YES,1,YES,new power plant across the river,,rain,,
Train,322,"""Because I forgot to leave my porch light on, someone robbed my house.""",False Causality,forgot to leave porch light on,,robbed my house,,,2,YES,4,YES,leave my porch light on,,someone robbed my house,,
Train,323,Eating five candy bars and drinking two sodas before a test helps me get better grades. I did that and got an A on my last test in history.,False Causality,eating five candy bars and drinking two sodas,,better grades,,,3,YES,3,YES,eating five candy bars and drinking two sodas before a test,,better grades,,
Train,324,"You got a cold two nights ago but last night you stayed up really late and now you are no longer sick, so it must be because you stayed up really late last night. What fallacy is being committed?",False Causality,stayed up really late,,sick,,,4,YES,4,YES,stayed up really late,,cold,,
Train,325,"I. The Ganges river is flooded due to large sheets of ice coming down from the Himalayas.
 II. Many people in the Himalayan ranges lost their houses under huge sheets of ice.",False Causality,large sheets of ice,,people lost their home,,,2,YES,1,YES,huge sheets of ice,,houses,,
Train,326,"During the first week of July ice cream sales climbed, and during the second week murder rates climbed. Therefore, ice cream inspires murder.",False Causality,ice cream,,murder,,,2,YES,2,YES,ice cream,,murder,,
Train,327,"I had a real bad headache, then saw my doctor. Just by talking with him, my headache started to subside, and I was all better the next day. It was well worth the $200 visit fee.",False Causality,talk with doctor,,headache,,,4,YES,4,YES,talking with him,,headache,,
Train,328,Our soccer team was losing until I bought new shoes. We have not lost a game since I got my lucky shoes!,False Causality,new shoes,,lost,,,4,YES,3,YES,new shoes,,not lost a game,,
Train,329,If the country is ever going to be safe from terrorists we have to close the borders.,False Causality,clos the borders,,safe from terrorist,,,3,YES,4,YES,close the borders,,terrorists,,
Train,330,â€œThe economy has improved greatly because of the new president.â€,False Causality,new president,,economy improvement,,,3,YES,3,YES,new president,,economy,,
Train,331,"Mom: Watching TV that close will make you go blind, so move back!
 Jonny: That is B.S., Mom. Sorry, I am not moving.",False Causality,watching tv that close,,blind,,,2,YES,2,YES,watching TV that close,,go blind,,
Train,332,"The rooster crows always before the sun rises, therefore the crowing rooster causes the sun to rise.",False Causality,rooster crows,,sun rises,,,3,YES,3,YES,crowing rooster,,sun to rise,,
Train,333,"David: We have way too much police presence in this city.
 Pete: What are you going to do about it?
 David: Vandalize, loot, and perhaps a little arson.",False Causality,police presence,,"vandalize, loot, and arson",,,2,YES,2,YES,too much police presence,,"vandalize, loot, and perhaps a little arson",,
Train,334,"Since Lucy Sutton became vice president of the parent-teacher association, student performance has declined and teacher morale is down. We on the school board believe that Sutton bears sole responsibility for the downtrend.",False Causality,lucy sutton became vice president,,student performance has declined and teacher morale is down,,,2,YES,2,YES,Sutton,,downtrend,,
Train,335,"President Jones raised taxes, and then the rate of violent crime went up. Jones is responsible for the rise in crime.",False Causality,raised taxes,,rate of vilent crime went up,,,2,YES,2,YES,President Jones,,rise in crime,,
Train,336,"Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. Therefore, if you become a rock star, donâ€™t expect to live a long life.",False Causality,rock stars,,die young,,,2,YES,2,YES,become a rockstar,,died young,,
Train,337,"The presence of police at protests cause an escalation of violence. It was the case that at the protest last night attended by uniformed police, there was an escalation of violence. Therefore, police should not be at protests.",False Causality,police presence,,escalation of violence,,,2,YES,2,YES,police at protests,,escalation of violence,,
Train,338,"Fewer tourists were recorded to have entered the country. This datum was gathered after Karapatan exposed the human rights violations happening here; therefore, Karapatan's expose was the reason for the low tourist turn out.",False Causality,karapatan exposed human rights violations,,tourist,,,4,YES,2,YES,Karapatan's expose,,low tourist turn out,,
Train,339,"""I started exercising twice a week, and I just got a babysitting job. Exercising leads to new jobs!""",False Causality,exercising,,babysitting job,,,3,YES,3,YES,exercising,,new jobs,,
Train,340,"Every time I wash my car, it rains",False Causality,wash my car,,rains,,,2,YES,2,YES,wash my car,,rain,,
Train,341,"Global chocolate consumption is highest in Switzerland, yet people there are among the trimmest in the industrialized world. Therefore, itâ€™s reasonable to conclude that chocolate helps keep your weight down.",False Causality,chocolate ,,weight down,,,3,YES,3,YES,chocolate,,keep your weight down,,
Train,342,"Joey's refrigerator broke after Rachel moved in; therefore, Rachel caused Joey's refrigerator to break.",False Causality,rachel moved in,,refregerator break,,,2,YES,1,YES,Rachel,,Joey's refrigerator,,
Train,343,"I. Many seats in the private medical colleges in the state have remained vacant this year.
 II. The government medical colleges in the state could accommodate all the students who sought admission this year.",False Causality,vacant seats,,government could accomodate,,,3,YES,3,YES,government medical colleges in the state,,students who sought admission this year,,
Train,344,"Which logical reason supports the opposition to the motion ""Cell phones give off an unsafe radiation and should not be used.""",False Causality,cell phones,,radiation,,,2,YES,2,YES,cell phones,,unsafe radiation,,
Train,345,"Every time I was my car, it rains. Me washing my car has a definite effect on the weather.",False Causality,wash my car,,rains,,,2,YES,2,YES,me washing my car,,rains,,
Train,346,Jimmy isn't at school today. He must be on a family trip.,False Causality,family trip,,school,,,1,YES,2,YES,be on a family trip,,isn't at school today,,
Train,347,My grandmother ate 10 cloves of raw garlic every day. Not surprisingly she lived to be 102.,False Causality,ate 10 cloves of raw garlic,,lived to be 102,,,3,YES,3,YES,ate 10 cloves of raw garlic every day,,lived to be 102,,
Train,348,"I saw John texting yesterday, and then he got in his car and drove away; he must have crashed because he was texting. Therefore, cell phones should be banned.",False Causality,cell phones,,crashed,,,2,YES,2,YES,cell phones,,crashed,,
Train,349,Someone really should move this â€˜deer crossingâ€™ sign. This is a dangerous stretch of highway and the deer really should be crossing somewhere else.,False Causality,move deer crossing sign,,danger,,,4,YES,3,YES,move this deer crossing sign,,crossing somewhere else,,
Train,350,"I wore my lucky red shirt when I took the test, so that is probably why I did so well on the test.",False Causality,wore my lucky red shirt,,did well on test,,,3,YES,3,YES,wore my lucky red shirt,,did so well on the test,,
Train,351,"My professor, who has a Ph.D. in Astronomy, once told me that ghosts are real. Therefore, ghosts are real.",Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Train,352,Beyond Meat burgers are healthy for us because they do not have any meat in them.,Fallacy of Credibility,meat burgers,,healthy,,have any meat,1,YES,3,YES,Beyond Meat burgers,,healthy,,us
Train,353,"We're going to celebrate New Year's Eve this way because that's how we've always done it.
 This is an example of ...",Fallacy of Credibility,,,,,,5,NO,3,YES,celebrate New Year's Even this way,,we,,that's how we've always done it
Train,354,"In the debate at Harvard, one of the Harvard teamâ€™s debaters rebutted Samantha Bookeâ€™s argument that Henry David Thoreau, a Harvard graduate, proposed civil disobedience as a means to protest unjust laws. The Harvard debater rebutted her by saying, â€œThoreau could never know that Adolph Hitler would agree with him.â€ A BETTER rebuttal would have been toâ€¦",Fallacy of Credibility,,,,,,5,NO,2,YES,civil disobedience,,unjust laws,,Henry David Thoreau
Train,355,"Dave: For five generations, the men in our family went to Stanford and became doctors, while the women got married and raised children. Therefore, it is my duty to become a doctor.
 Kaitlin: Do you want to become a doctor?
 Dave: It doesnâ€™t matter -- it is our family tradition. Who am I to break it?",Fallacy of Credibility,went to stanford,,became doctor,,family tradition,3,YES,3,YES,become a doctor,,the men in our family,,our family traidion
Train,356,Give me liberty or give me death,Fallacy of Credibility,,,,,,5,NO,2,YES,Give me liberty,,Give me death,,me
Train,357,"Since Dwayne Johnson (aka The Rock) endorsed this protein powder, it must work wonders.",Fallacy of Credibility,protein powder,,work,,dwayne johnson,3,YES,3,YES,protein powder,,work wonders,,Dwayne Johnson
Train,358,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.",Fallacy of Credibility,debate,,best class,,ms drayer,3,YES,5,NO,,,,,
Train,359,"""My three decades of experience in public service, my tireless commitment to the people of this community, and my willingness to reach across the aisle and cooperate with the opposition, make me the ideal candidate for your mayor."" Which appeal is the primary appeal used in this quote?",Fallacy of Credibility,tireless commitment to the people,,ideal candidate,,three decades of experience in publc,3,YES,3,YES,make me the ideal candidate for your mayor,,people of this community,,"my three decades of experience in public service, my tireless commitment to the people of this community, and my willingness to reach across the aisle and cooperate with the opposition"
Train,360,Appeals to an authority that has little to nothing to do with the argument,Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Train,361,My uncle is a mechanic and he says you shouldn't spank children. He says it's ineffective.,Fallacy of Credibility,spank,,children,,my uncle,1,YES,4,YES,spank children,,ineffective,,My uncle
Train,362,"""The logic teacher was hired to fill the new computer animation class. He is a great admirer of Pixar's work and will do a great job.""",Fallacy of Credibility,logic teacher,,computer animation class,,admirer of pixar's work,3,YES,5,NO,,,,,
Train,363,An attempt to gain a customerâ€™s trust in an advertisement is referred to as,Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Train,364,Not able to defend his position that evolution 'isn't true' Bob says that he knows a scientist who also questions evolution (and presumably isn't a primate).,Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Train,365,"Despite the fact that our Q4 numbers are much lower than usual, we should push forward using the same strategy because our CEO Barbara says this is the best approach.",Fallacy of Credibility,push forward using same strategy,,best approach,,ceo barbara,3,YES,3,YES,push forward using the same strategy,,best approach,,CEO Barbara
Train,366,"To justify support for a position by citing an esteemed or well-known figure who supports it.
 
 Para justificar el apoyo a una posiciÃ³n citando a una figura estimada o conocida que lo apoya.",Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Train,367,"Hi, Iâ€™m Troy McClure. You might remember me from such films as The Day the Peacock Died. After filming scenes with feathered co-stars all day, thereâ€™s nothing I enjoy more than a bucket of Busterâ€™s Chicken. Itâ€™s chickentastic!",Fallacy of Credibility,,,,,,5,NO,3,YES,Buster's Chicken,,I,,Troy McClure
Train,368,"""I will end this war in Iraq responsibly, and finish the fight against al Qaeda and the Taliban in Afghanistan. I will rebuild our military to meet future conflicts. But I will also renew the tough, direct diplomacy that can prevent Iran from obtaining nuclear weapons and curb Russian aggression. I will build new partnerships to defeat the threats of the 21st century: terrorism and nuclear proliferation; poverty and genocide; climate change and disease. And I will restore our moral standing, so that America is once again that last, best hope for all who are called to the cause of freedom, who long for lives of peace, and who yearn for a better future."" Which appeal is the primary appeal used in this quote?",Fallacy of Credibility,rebuild military,,future conflic,,me as an american ,2,YES,3,YES,end this war in Iraq,,America,,I
Train,369,Why doesn't Tim get a real job like normal people instead of trying to launch that Internet business from home?,Fallacy of Credibility,launch that internet business,,real job,,me,2,YES,5,NO,,,,,
Train,370,We should move to the Midwest because Mujtaba from the Wall Street Journal says the cost of living is cheaper there.,Fallacy of Credibility,move to midwest,,cost of living is cheaper,,mujtaba,3,YES,2,YES,move to the Midwest,,cost of living,,Mujtaba from the Wall street Journal
Train,371,We should abolish the death penalty. Even Judge Judy is opposed to it.,Fallacy of Credibility,abolish death penalty,,we,,judge judy,3,YES,1,YES,death penalty,,We,,Judge Judy
Train,372,"The owner of the car dealership by my house told me I need a new car, and he would know since he works in the industry.",Fallacy of Credibility,new car,,i,,the owner of the car dealership,3,YES,3,YES,new car,,I,,The owner of the car dealership by my house
Train,373,"I have been around the block many times, and I have had my share of success. So believe me when I tell you that there is no better hobby than cat-juggling.",Fallacy of Credibility,,,,,,5,NO,3,YES,cat-juggling,,hobby,,I have been around the block many times
Train,374,"If we allow cadets to apply for encampment online, weâ€™d save everyone lots of headaches. REPLY: No. Weâ€™ve always made cadets apply using a paper form.",Fallacy of Credibility,encampment online,,headaches,,me,2,YES,5,NO,,,,,
Train,375,"A book argues that global warming is not actually happening, and cites the research of one environmental scientist who has been studying climate change for several years.",Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Train,376,"""My dad is a mechanic and he says that eating brushing your teeth twice a day is good for you. Since he is a mechanic, he knows best.""",Fallacy of Credibility,brushing your teeth twice,,you,,my dad,3,YES,3,YES,eating brushing your teeth twice a day,,you,,My dad
Train,377,Invoke shared values and principles. They call upon the audienceâ€™s sense of right and wrong.,Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Train,378,Of course we should buy an Apple computer whenever we need a new computer. We have been buying Apple as far back as anyone can remember!,Fallacy of Credibility,buy an apple computer,,we,,buying apple as far back as anyone can remember,3,YES,3,YES,buy an Apple computer whenever we need a new computer,,we,,We have been buying Apple as far back as anyone can rememer
Train,379,"Aaron Rodgers says you should get State Farm Insurance on your home, car, motorcycle, or trailer!",Fallacy of Credibility,get state farm insurance,,"home, car, motorcycle, or trailer",,aaron rodgers,3,YES,1,YES,"get State Farm Insurance on your home, car, motorcycle, or trailer",,you,,Aaron Rodgers
Train,380,One day robots will enslave us all. It's true. My computer science teacher says so.,Fallacy of Credibility,robots,,enslave,,computer science teacher,4,YES,4,YES,robots,,enslave us all,,computer science teacher
Train,381,Word processed papers are clearer and more error-free than typed papers because they make use of new technology.,Fallacy of Credibility,word processed papers,,clearer and more error-free,,new technology,3,YES,5,NO,,,,,
Train,382,Ignore any scientific ideas from anyone who didnâ€™t get a Ph.D.,Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Train,383,A little boy says that his friends should not go swimming in a river because his Mama said there were germs in the river.,Fallacy of Credibility,swimming in a river,,germs,,mama,4,YES,4,YES,go swimming in a river,,germs,,his Mama
Train,384,"World-renowned physicist Dr. Patricia Mitchell assures me that exposure to natural sunlight, even exposure resulting in mild sunburn, is still significantly less of a cancer risk than brief exposure to the artificial light in a tanning bed. So I make sure to tell all of my friends that if theyâ€™re looking to get a tan this summer they should do it outdoors, and not at the tanning salon!",Fallacy of Credibility,using tan in outdoors,,,,,5,NO,2,YES,exposure to natural sunlight,,cancer risk,,World-renowned physicist Dr. Patricia Mitchell
Train,385,Studies show it takes up to seven years for the human body to digest a piece of gum.,Fallacy of Credibility,,,,,,5,NO,1,YES,gum,,human body,,studies
Train,386,"â€œRichard Dawkins, an evolutionary biologist and perhaps the foremost expert in the field, says that evolution is true. Therefore, I believe it's true.â€",Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Train,387,There is no intervention for victims of domestic violence that has more empirical support from controlled studies than this one. It is clear that this is the right way to address this problem and we should all be providing this therapy whenever victims of domestic violence come to us for help.,Fallacy of Credibility,threaphy,,help victimes of domestic violence,,,3,YES,2,YES,all be providing this therapy,,victims of domestic violence,,this one
Train,388,"â€œWe should abolish the death penalty. Many respected people, such as actor Guy Handsome, have publicly stated their opposition to it.â€",Fallacy of Credibility,abolish death penalty,,we,,actor guy handsome,3,YES,1,YES,death penalty,,We,,Guy Handsome
Train,389,"I saw Ashton Kutcher in a prescription drug commercial, therefore it has to be an effective drug.",Fallacy of Credibility,prescription drug commercial,,effective drug,,ashton kutcher,3,YES,3,YES,prescription drug,,effective,,Ashton Kutcher
Train,390,"As a police officer who has worked for the city for 15 years, I have been a witness to distracted drivers and something needs to be done.",Fallacy of Credibility,,,,,,5,NO,2,YES,something needs to be done,,distracted drivers,,police officer who has worked for the city for 15 years
Train,391,SM 10: Local talk show host saying we are on the verge of a nuclear war leading to sitting in a basement for months.,Fallacy of Credibility,sitting in a basement for months,,nuclear war,,local talk show host,4,YES,4,YES,nuclear war,,sitting in a basement for months,,local talk show host
Train,392,"X has been around for years now.
 Y is new.
 Therefore, Y is better than X.",Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Train,393,"Lebron James, one of the most decorated basketball players of all time, says you need to eat breakfast so you need to eat breakfast",Fallacy of Credibility,eat breakfast,,you,,lebron james,3,YES,3,YES,eat breakfast,,you,,Lebron James
Train,394,We should abolish the death penalty. Even Taylor Swift is opposed to it.,Fallacy of Credibility,abolish death penalty,,we,,taylor swift,3,YES,1,YES,abolish the death penalty,,We,,Taylor Swift is opposed to it
Train,395,"My dad went to school, so he knows everything about the education system.",Fallacy of Credibility,,,,,,5,NO,5,NO,,,,,
Train,396,Because doctors smoke it must be a healthy choice.,Fallacy of Credibility,smoke,,healthy,,doctors,3,YES,3,YES,smoke,,healthy choice,,doctors smoke
Train,397,"Because Martin Sheen played the president on television, he'd probably make a great president in real life.",Fallacy of Credibility,played the president on television,,great president in real life,,martin sheen,3,YES,5,NO,,,,,
Train,398,"Iâ€™m not a doctor, but I play a doctor on TV, and I wouldnâ€™t dream of using anything but Tylenol for my toughest headaches.",Fallacy of Credibility,tylenol,,headaches,,play doctor on tv,3,YES,2,YES,Tylenol,,toughest headaches,,I
Train,399,â€œfour out of five dentists agree that brushing your teeth makes your life meaningfulâ€,Fallacy of Credibility,brushing your teeth,,life meaningful,,four dentists,3,YES,3,YES,brushing your teeth,,life,,four out of five dentists
Train,400,"Michael Jordan wears Hanes underwear, so you should too!",Fallacy of Credibility,hanes underwear,,you,,michael jordan,3,YES,3,YES,Hanes underwear,,you,,Michael Jordan